tdat_code	tdat_text
00	Number in thousands
01	Percent or rate
02	Average weeks
03	Median weeks
04	Average hours at work
05	Median hours at work
06	Average years
07	Median years
08	Average number of methods used for seeking jobs
09	Total methods used for seeking jobs
10	hours at work worked
11	hours at work offered
12	hours at work lost
13	Aggregate-hours at work
14	Aggregate-weeks
15	Aggregate weeks of unemployment
16	Number of families
17	Aggregate usual hours
18	Average weekly hours teleworked or worked at home for pay
19	Aggregate weekly hours teleworked or worked at home for pay
