date,Both sexes,Men,Women,Both sexes — change since 2023-12 (000s),Men — change since 2023-12 (000s),Women — change since 2023-12 (000s)
2023-12-01,161058,85665,75394,0,0,0
2024-01-01,161133,85037,76096,75,-628,702
2024-02-01,161083,85118,75965,25,-547,571
2024-03-01,161462,85497,75965,404,-168,571
2024-04-01,161438,85198,76239,380,-467,845
2024-05-01,161180,84979,76201,122,-686,807
2024-06-01,161152,85443,75709,94,-222,315
2024-07-01,161297,85394,75903,239,-271,509
2024-08-01,161429,85032,76396,371,-633,1002
2024-09-01,161813,85562,76251,755,-103,857
2024-10-01,161444,85590,75854,386,-75,460
2024-11-01,161159,85329,75830,101,-336,436
2024-12-01,161586,85593,75993,528,-72,599
2025-01-01,163831,86700,77131,2773,1035,1737
2025-02-01,163338,86269,77068,2280,604,1674
2025-03-01,163509,86457,77052,2451,792,1658
2025-04-01,163898,86691,77208,2840,1026,1814
2025-05-01,163244,86473,76771,2186,808,1377
2025-06-01,163327,86558,76769,2269,893,1375
2025-07-01,163140,86375,76765,2082,710,1371
2025-08-01,163370,86834,76536,2312,1169,1142
2025-09-01,163656,86652,77004,2598,987,1610
2025-11-01,163760,86616,77144,2702,951,1750
2025-12-01,163992,86812,77180,2934,1147,1786
2026-01-01,163097,85348,77749,2039,-317,2355
2026-02-01,162912,85210,77702,1854,-455,2308
2026-03-01,162848,85111,77737,1790,-554,2343
2026-04-01,162622,85007,77615,1564,-658,2221
2026-05-01,162771,85172,77599,1713,-493,2205
2026-06-01,162264,84854,77410,1206,-811,2016
