indy_code	indy_text
0000	All Industries
0168	Agriculture and related industries
0169	Agriculture, forestry, fishing, and hunting
0170	Crop production
0180	Animal production and aquaculture
0188	Nonfarm Industries
0190	Forestry except logging
0270	Logging
0280	Fishing, hunting, and trapping
0290	Support activities for agriculture and forestry
0368	Nonagriculture industries
0369	Mining, quarrying, and oil and gas extraction
0370	Oil and gas extraction
0380	Coal mining
0390	Metal ore mining
0470	Nonmetallic mineral mining and quarrying
0480	Not specified type of mining
0490	Support activities for mining
0569	Utilities
0570	Electric power generation, transmission, and distribution
0580	Natural gas distribution
0590	Electric and gas, and other combinations
0670	Water supply and irrigation systems, and steam and air-conditioning supply
0680	Sewage treatment facilities
0690	Not specified utilities
0770	Construction
1068	Nondurable goods manufacturing
1069	Food manufacturing
1070	Animal food, grain and oilseed milling
1080	Sugar and confectionery products
1090	Fruit and vegetable preserving and specialty food manufacturing
1170	Dairy product manufacturing
1180	Animal slaughtering and processing
1190	Retail bakeries
1270	Bakeries and tortilla manufacturing, except retail bakeries
1280	Seafood and other miscellaneous foods, n.e.c.
1290	Not specified food industries
1369	Beverage and tobacco products
1370	Beverage manufacturing
1390	Tobacco manufacturing
1469	Textiles, apparel, and leather
1470	Fiber, yarn, and thread mills
1480	Fabric mills, except knit fabric mills
1490	Textile and fabric finishing and fabric coating mills
1570	Carpet and rug mills
1590	Textile product mills, except carpets and rugs
1670	Knit fabric mills, and apparel knitting mills
1680	Cut and sew apparel manufacturing
1690	Apparel accessories and other apparel manufacturing
1691	Cut and sew, and apparel accessories and other apparel manufacturing
1770	Footwear manufacturing
1790	Leather tanning and products, except footwear manufacturing
1869	Paper and printing
1870	Pulp, paper, and paperboard mills
1880	Paperboard container manufacturing
1890	Miscellaneous paper and pulp products manufacturing
1990	Printing and related support activities
2069	Petroleum and coal products
2070	Petroleum refineries
2090	Petroleum and coal products manufacturing, except petroleum refineries
2169	Chemicals
2170	Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing
2180	Pesticide, fertilizer, and other agricultural chemical manufacturing
2190	Pharmaceutical and medicine manufacturing
2270	Paint, coating, and adhesive manufacturing
2280	Soap, cleaning compound, and toilet preparation manufacturing
2290	Basic chemical manufacturing, and other chemical product and preparation manufacturing
2369	Plastics and rubber products
2370	Plastics product manufacturing
2380	Tire manufacturing
2390	Rubber product, except tires, manufacturing
2467	Manufacturing
2468	Durable goods manufacturing
2469	Nonmetallic mineral products
2470	Pottery, ceramics, and related product manufacturing
2480	Clay building material and refractories manufacturing
2490	Glass and glass product manufacturing
2570	Cement, concrete, lime, and gypsum product manufacturing
2590	Other nonmetallic mineral product manufacturing
2669	Primary metals and fabricated metal  products
2670	Iron and steel mills and steel product manufacturing
2680	Alumina and aluminum production and processing
2690	Nonferrous metal, except aluminum, production and processing
2770	Foundries
2780	Forging and stamping
2790	Cutlery and handtool manufacturing
2870	Architectural and structural metals, and boiler, tank, and shipping container manufacturing
2880	Machine shops; turned product; screw, nut, and bolt manufacturing
2890	Coating, engraving, heat treating and allied activities
2970	Ordnance
2980	Miscellaneous fabricated metal product manufacturing
2990	Not specified metal industries
3069	Machinery manufacturing
3070	Agricultural implement manufacturing
3080	Construction, mining, and oil field machinery manufacturing
3090	Commercial and service industry machinery manufacturing
3095	Commercial and service industry machinery manufacturing
3170	Metalworking machinery manufacturing
3180	Engine, turbine, and power transmission equipment manufacturing
3190	Machinery manufacturing, n.e.c.
3290	Not specified machinery manufacturing
3291	Machinery manufacturing, n.e.c. or not specified
3359	Computers and electronic products
3360	Computer and peripheral equipment manufacturing
3365	Computer and peripheral equipment manufacturing
3370	Communications, audio, and video equipment manufacturing
3380	Navigational, measuring, electromedical, and control instruments manufacturing
3390	Semiconductor, magnetic and optical media, and other electronic component manufacturing
3469	Electrical equipment and appliances
3470	Household appliance manufacturing
3490	Electric lighting, equipment, and supplies manufacturing, n.e.c.
3569	Transportation equipment
3570	Motor vehicles and motor vehicle equipment manufacturing
3580	Aircraft, aircraft engine, and aircraft parts manufacturing
3590	Guided missile and space vehicle and parts manufacturing
3670	Railroad rolling stock manufacturing
3680	Ship and boat building
3690	Other transportation equipment manufacturing
3769	Wood products
3770	Sawmills and wood preservation
3780	Veneer, plywood, and engineered wood product manufacturing
3790	Manufactured home (mobile home) and prefabricated wood building manufacturing
3870	Miscellaneous wood products
3875	Miscellaneous wood product manufacturing
3890	Furniture and related product manufacturing
3895	Furniture and related product manufacturing
3959	Miscellaneous manufacturing
3960	Medical equipment and supplies manufacturing
3970	Toys, amusement, and sporting goods manufacturing
3980	Miscellaneous manufacturing, n.e.c.
3990	Not specified manufacturing industries
