series_id        	lfst_code	periodicity_code	series_title	absn_code	activity_code	ages_code	cert_code	class_code	duration_code	education_code	entr_code	expr_code	hheader_code	hour_code	indy_code	jdes_code	look_code	mari_code	mjhs_code	occupation_code	orig_code	pcts_code	race_code	rjnw_code	rnlf_code	rwns_code	seek_code	sexs_code	tdat_code	vets_code	wkst_code	born_code	chld_code	disa_code	seasonal	tlwk_code	footnote_codes	begin_year	begin_period	end_year	end_period
LNS11000000      	10	M	(Seas) Civilian Labor Force Level	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000000Q     	10	Q	(Seas) Civilian Labor Force Level	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000001      	10	M	(Seas) Civilian Labor Force Level - Men	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000001Q     	10	Q	(Seas) Civilian Labor Force Level - Men	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000002      	10	M	(Seas) Civilian Labor Force Level - Women	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000002Q     	10	Q	(Seas) Civilian Labor Force Level - Women	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000003      	10	M	(Seas) Civilian Labor Force Level - White	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	0	00	00	00	00	00	00	S	00		1954	M01	2026	M06
LNS11000003Q     	10	Q	(Seas) Civilian Labor Force Level - White	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	0	00	00	00	00	00	00	S	00		1954	Q01	2026	Q02
LNS11000004      	10	M	(Seas) Civilian Labor Force Level - White Men	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	1	00	00	00	00	00	00	S	00		1954	M01	2026	M06
LNS11000004Q     	10	Q	(Seas) Civilian Labor Force Level - White Men	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	1	00	00	00	00	00	00	S	00		1954	Q01	2026	Q02
