date,LNU02034574,LNU02037841,LNU02037935
2023-12-01,36729,9323,27406
2024-01-01,37317,9455,27862
2024-02-01,37692,9423,28269
2024-03-01,37835,9471,28364
2024-04-01,37933,9469,28463
2024-05-01,37005,9358,27647
2024-06-01,36277,9441,26835
2024-07-01,35653,9264,26389
2024-08-01,36180,9115,27065
2024-09-01,37479,9734,27745
2024-10-01,37397,9644,27753
2024-11-01,37554,9671,27883
2024-12-01,37243,9869,27374
2025-01-01,38259,9833,28426
2025-02-01,38790,9872,28918
2025-03-01,38607,9846,28761
2025-04-01,38690,9706,28983
2025-05-01,38375,9494,28880
2025-06-01,37174,9498,27676
2025-07-01,36165,9160,27005
2025-08-01,37043,9372,27671
2025-09-01,37737,9774,27963
2025-11-01,38625,9962,28663
2025-12-01,38038,9819,28219
2026-01-01,38239,9585,28654
2026-02-01,38022,9608,28414
2026-03-01,38453,9566,28887
2026-04-01,38044,9552,28493
2026-05-01,37479,9495,27984
2026-06-01,36693,9359,27334
