date,Both sexes,Men,Women,Men MoM (000s),Women MoM (000s),Both MoM (000s)
2023-12-01,161058,85665,75394,,,
2024-01-01,161133,85037,76096,-628,702,75
2024-02-01,161083,85118,75965,81,-131,-50
2024-03-01,161462,85497,75965,379,0,379
2024-04-01,161438,85198,76239,-299,274,-24
2024-05-01,161180,84979,76201,-219,-38,-258
2024-06-01,161152,85443,75709,464,-492,-28
2024-07-01,161297,85394,75903,-49,194,145
2024-08-01,161429,85032,76396,-362,493,132
2024-09-01,161813,85562,76251,530,-145,384
2024-10-01,161444,85590,75854,28,-397,-369
2024-11-01,161159,85329,75830,-261,-24,-285
2024-12-01,161586,85593,75993,264,163,427
2025-01-01,163831,86700,77131,1107,1138,2245
2025-02-01,163338,86269,77068,-431,-63,-493
2025-03-01,163509,86457,77052,188,-16,171
2025-04-01,163898,86691,77208,234,156,389
2025-05-01,163244,86473,76771,-218,-437,-654
2025-06-01,163327,86558,76769,85,-2,83
2025-07-01,163140,86375,76765,-183,-4,-187
2025-08-01,163370,86834,76536,459,-229,230
2025-09-01,163656,86652,77004,-182,468,286
2025-11-01,163760,86616,77144,-36,140,104
2025-12-01,163992,86812,77180,196,36,232
2026-01-01,163097,85348,77749,-1464,569,-895
2026-02-01,162912,85210,77702,-138,-47,-185
2026-03-01,162848,85111,77737,-99,35,-64
2026-04-01,162622,85007,77615,-104,-122,-226
2026-05-01,162771,85172,77599,165,-16,149
2026-06-01,162264,84854,77410,-318,-189,-507
