triple,month,both_id,men_id,women_id,both,men,women,men+women,error
ALL 16+ | Employed full time (persons who usually work 35 hours or more),1969M06,LNU02500000,LNU02500001,LNU02500002,68263.0,46282.0,21974.0,68256.0,-7.0
ALL 16+ | Employed full time (persons who usually work 35 hours or more),1972M01,LNU02500000,LNU02500001,LNU02500002,66552.0,44492.0,22063.0,66555.0,3.0
ALL 16+ | Employed full time (persons who usually work 35 hours or more),1973M08,LNU02500000,LNU02500001,LNU02500002,75358.0,50201.0,25154.0,75355.0,-3.0
ALL 16+ | Employed full time (persons who usually work 35 hours or more),1974M06,LNU02500000,LNU02500001,LNU02500002,75175.0,50114.0,25032.0,75146.0,-29.0
ALL 16+ | Employed full time (persons who usually work 35 hours or more),1975M09,LNU02500000,LNU02500001,LNU02500002,72442.0,47448.0,24997.0,72445.0,3.0
ALL 16+ | Employed part time (persons who usually work less than 35 hours),1971M08,LNU02600000,LNU02600001,LNU02600002,10832.0,3839.0,6996.0,10835.0,3.0
ALL 16+ | Employed part time (persons who usually work less than 35 hours),1975M06,LNU02600000,LNU02600001,LNU02600002,13920.0,4750.0,8540.0,13290.0,-630.0
ALL 16+ | Employed part time (persons who usually work less than 35 hours),1975M08,LNU02600000,LNU02600001,LNU02600002,12769.0,4254.0,9146.0,13400.0,631.0
ALL 16+ | Employed part time (persons who usually work less than 35 hours),1975M10,LNU02600000,LNU02600001,LNU02600002,14767.0,4986.0,9778.0,14764.0,-3.0
ALL 16+ | Unemployed looking for full-time work,1975M11,LNU03100000,LNU03100001,LNU03100002,5817.0,3381.0,2416.0,5797.0,-20.0
ALL 16+ | Unemployed looking for part-time work,1976M04,LNU03200000,LNU03200001,LNU03200002,1342.0,830.0,712.0,1542.0,200.0
ages=25 years and over | Civilian labor force,1976M07,LNU01000048,LNU01000049,LNU01000050,72094.0,44450.0,27641.0,72091.0,-3.0
ages=25 years and over | Employed,1976M09,LNU02000048,LNU02000049,LNU02000050,69756.0,42922.0,26837.0,69759.0,3.0
ages=25 years and over | Employed full time (persons who usually work 35 hours or more),1986M07,LNU02500048,LNU02500049,LNU02500050,77474.0,47460.0,30011.0,77471.0,-3.0
ages=25 years and over | Employed full time (persons who usually work 35 hours or more),1986M12,LNU02500048,LNU02500049,LNU02500050,78545.0,47714.0,30834.0,78548.0,3.0
ages=25 years and over | Employed full time (persons who usually work 35 hours or more),1987M04,LNU02500048,LNU02500049,LNU02500050,79035.0,47998.0,31034.0,79032.0,-3.0
ages=25 years and over | Employed full time (persons who usually work 35 hours or more),1988M02,LNU02500048,LNU02500049,LNU02500050,80497.0,48607.0,31893.0,80500.0,3.0
ages=25 years and over | Employed part time (persons who usually work less than 35 hours),1986M07,LNU02600048,LNU02600049,LNU02600050,11661.0,3018.0,8640.0,11658.0,-3.0
ages=25 years and over | Unemployed looking for full-time work,1978M06,LNU03100048,LNU03100049,LNU03100050,2472.0,1241.0,1234.0,2475.0,3.0
ages=25 years and over | Unemployed looking for full-time work,1985M07,LNU03100048,LNU03100049,LNU03100050,4526.0,2490.0,2033.0,4523.0,-3.0
ages=25 years and over | Unemployed looking for part-time work,1980M01,LNU03200048,LNU03200049,LNU03200050,565.0,150.0,412.0,562.0,-3.0
ages=25 to 54 years | Civilian labor force,1980M08,LNU01000060,LNU01000061,LNU01000062,66263.0,38861.0,27399.0,66260.0,-3.0
