triple,both_id,men_id,women_id,months,max_abs_error_000s,status
ALL 16+ | Employed part time (persons who usually work less than 35 hours),LNU02600000,LNU02600001,LNU02600002,701,631.0,4 fail
indy=Agriculture and related industries | Employed,LNU02034560,LNU02035117,LNU02035121,941,588.0,113 fail
ALL 16+ | Unemployed looking for part-time work,LNU03200000,LNU03200001,LNU03200002,701,200.0,1 fail
indy=Wholesale and retail trade | Employed,LNU02034566,LNU02037828,LNU02037922,521,151.0,1 fail
indy=Education and health services | Employed,LNU02034574,LNU02037841,LNU02037935,521,140.0,1 fail
indy=Financial activities | Employed,LNU02034572,LNU02037835,LNU02037929,521,77.0,1 fail
indy=Retail trade | Employed,LNU02034568,LNU02037830,LNU02037924,521,76.0,1 fail
indy=Wholesale trade | Employed,LNU02034567,LNU02037829,LNU02037923,521,75.0,1 fail
indy=Information | Employed,LNU02034571,LNU02037834,LNU02037928,521,66.0,1 fail
indy=Professional and business services | Employed,LNU02034573,LNU02037838,LNU02037932,521,42.0,1 fail
ALL 16+ | Employed full time (persons who usually work 35 hours or more),LNU02500000,LNU02500001,LNU02500002,701,29.0,5 fail
indy=Transportation and warehousing | Employed,LNU02034569,LNU02037832,LNU02037926,521,25.0,1 fail
ALL 16+ | Unemployed looking for full-time work,LNU03100000,LNU03100001,LNU03100002,701,20.0,1 fail
indy=Manufacturing | Employed,LNU02034563,LNU02037825,LNU02037919,521,19.0,1 fail
indy=Construction | Employed,LNU02034562,LNU02037824,LNU02037918,521,17.0,1 fail
indy=Leisure and hospitality | Employed,LNU02034575,LNU02037847,LNU02037941,521,15.0,1 fail
"indy=Other services, except private households | Employed",LNU02034577,LNU02037851,LNU02037945,521,15.0,1 fail
indy=Other services | Employed,LNU02034576,LNU02037850,LNU02037944,521,11.0,1 fail
race=White | Civilian noninstitutional population,LNU00000003,LNU00000004,LNU00000005,869,10.0,2 fail
indy=Transportation and utilities | Employed,LNU02034570,LNU02037831,LNU02037925,521,9.0,1 fail
indy=Nondurable goods manufacturing | Employed,LNU02034565,LNU02037827,LNU02037921,521,9.0,1 fail
indy=Durable goods manufacturing | Employed,LNU02034564,LNU02037826,LNU02037920,521,9.0,1 fail
indy=Public administration | Employed,LNU02034579,LNU02037853,LNU02037947,521,7.0,1 fail
ages=55 years and over | Civilian labor force,LNU01024230,LNU01024231,LNU01024232,941,3.0,1 fail
