date,value,ma12,spans_gap,spans_break
1994-01-01,3906.0,,False,False
1994-02-01,4019.0,,False,False
1994-03-01,4261.0,,False,False
1994-04-01,4269.0,,False,False
1994-05-01,4117.0,,False,False
1994-06-01,4094.0,,False,False
1994-07-01,4023.0,,False,False
1994-08-01,3899.0,,False,False
1994-09-01,4464.0,,False,False
1994-10-01,4388.0,,False,False
1994-11-01,4384.0,,False,False
1994-12-01,4366.0,4182.5,False,False
1995-01-01,4288.0,4214.3,False,False
1995-02-01,4536.0,4257.4,False,False
1995-03-01,4405.0,4269.4,False,False
1995-04-01,4490.0,4287.8,False,False
1995-05-01,4624.0,4330.1,False,False
1995-06-01,4595.0,4371.8,False,False
1995-07-01,4476.0,4409.6,False,False
1995-08-01,4390.0,4450.5,False,False
1995-09-01,4395.0,4444.8,False,False
1995-10-01,4505.0,4454.5,False,False
1995-11-01,4350.0,4451.7,False,False
1995-12-01,4295.0,4445.8,False,False
1996-01-01,4013.0,4422.8,False,False
1996-02-01,4415.0,4412.8,False,False
1996-03-01,4687.0,4436.2,False,False
1996-04-01,4250.0,4416.2,False,False
1996-05-01,4455.0,4402.2,False,False
1996-06-01,4345.0,4381.3,False,False
1996-07-01,4201.0,4358.4,False,False
1996-08-01,4252.0,4346.9,False,False
1996-09-01,4253.0,4335.1,False,False
1996-10-01,4532.0,4337.3,False,False
1996-11-01,4648.0,4362.2,False,False
1996-12-01,4505.0,4379.7,False,False
1997-01-01,4270.0,4401.1,False,False
1997-02-01,4392.0,4399.2,False,False
1997-03-01,4546.0,4387.4,False,False
1997-04-01,4445.0,4403.7,False,False
1997-05-01,4594.0,4415.2,False,False
1997-06-01,4573.0,4434.2,False,False
1997-07-01,4514.0,4460.3,False,False
1997-08-01,4313.0,4465.4,False,False
1997-09-01,4438.0,4480.8,False,False
1997-10-01,4584.0,4485.2,False,False
1997-11-01,4609.0,4481.9,False,False
1997-12-01,4574.0,4487.7,False,False
1998-01-01,4236.0,4484.8,False,False
1998-02-01,4391.0,4484.8,False,False
1998-03-01,4632.0,4491.9,False,False
1998-04-01,4523.0,4498.4,False,False
1998-05-01,4660.0,4503.9,False,False
1998-06-01,4333.0,4483.9,False,False
1998-07-01,4253.0,4462.2,False,False
1998-08-01,4344.0,4464.8,False,False
1998-09-01,4442.0,4465.1,False,False
1998-10-01,4755.0,4479.3,False,False
1998-11-01,4609.0,4479.3,False,False
1998-12-01,4561.0,4478.2,False,False
1999-01-01,4342.0,4487.1,False,False
1999-02-01,4396.0,4487.5,False,False
1999-03-01,4458.0,4473.0,False,False
1999-04-01,4269.0,4451.8,False,False
1999-05-01,4420.0,4431.8,False,False
1999-06-01,3992.0,4403.4,False,False
1999-07-01,4101.0,4390.8,False,False
1999-08-01,3992.0,4361.4,False,False
1999-09-01,4171.0,4338.8,False,False
1999-10-01,4462.0,4314.4,False,False
1999-11-01,4504.0,4305.7,False,False
1999-12-01,4411.0,4293.2,False,False
2000-01-01,4324.0,4291.7,False,False
2000-02-01,4293.0,4283.1,False,False
2000-03-01,4279.0,4268.2,False,False
2000-04-01,4287.0,4269.7,False,False
2000-05-01,4352.0,4264.0,False,False
